CFU,TSP,PM10,PM2.5,PM1.0,Temp,Humid,NO2,CO,CO2,HCHO,Radon
3.3333333333333335,69.60000000000001,63.199999999999996,34.36666666666667,9.700000000000001,12.766666666666666,899.4,68.3,416.8333333333333,817733.3333333334,66.66666666666667,0.24333333333333332
270.0,33.63333333333333,30.833333333333332,18.166666666666668,17.866666666666667,11.866666666666665,1473.9666666666665,2.1333333333333333,11.699999999999998,895066.6666666666,58.9,0.0
260.0,10.466666666666667,9.733333333333334,5.366666666666667,4.566666666666666,12.566666666666668,1359.2666666666667,64.3,391.8999999999999,907066.6666666666,48.73333333333333,0.27
40.0,5.733333333333333,5.266666666666667,2.8000000000000003,2.766666666666667,11.533333333333333,1202.0,65.5,398.5333333333333,908166.6666666666,45.0,0.43
0.0,21739.166666666668,8586.166666666666,142.29999999999998,53.93333333333334,2.8000000000000003,394.26666666666665,95.33333333333333,580.2333333333333,851833.3333333334,67.06666666666666,3.16
80.0,32.73333333333334,28.03333333333333,12.4,12.233333333333334,20.03333333333333,880.0666666666666,0.43333333333333335,3.0666666666666664,879666.6666666666,72.39999999999999,0.3233333333333333
16.666666666666668,19.933333333333334,17.033333333333335,7.2,7.0,12.800000000000002,973.0333333333333,63.300000000000004,386.3,882700.0,154.16666666666666,0.11
26.666666666666668,17.966666666666665,13.1,5.3999999999999995,4.166666666666667,11.300000000000002,1032.4333333333334,0.20000000000000004,1.0,993333.3333333334,76.06666666666666,0.27
53.333333333333336,44.833333333333336,37.16666666666667,12.799999999999999,9.966666666666667,7.333333333333333,865.2666666666668,0.0,0.0,922766.6666666666,45.0,0.0
93.33333333333333,21.733333333333334,18.833333333333332,7.8999999999999995,6.066666666666667,9.0,876.5666666666666,0.0,0.0,918333.3333333334,43.73333333333333,0.0
26.666666666666668,23.03333333333333,20.566666666666666,10.433333333333332,10.433333333333334,10.799999999999999,544.2,0.13333333333333333,1.0,798766.6666666666,36.43333333333333,0.27
213.33333333333334,57.23333333333333,46.1,16.400000000000002,15.366666666666667,8.633333333333333,489.8333333333333,1.5666666666666664,11.199999999999998,845900.0,40.06666666666666,0.0
83.33333333333333,27.03333333333333,24.166666666666668,12.133333333333333,11.0,6.133333333333333,409.1666666666667,83.03333333333335,503.8999999999999,815400.0,38.86666666666667,0.11
80.0,36.36666666666667,32.03333333333333,16.566666666666666,15.766666666666666,9.666666666666666,560.6666666666666,0.3333333333333333,1.5,881333.3333333334,34.76666666666667,0.0
